country,city,iso3,iso3_cit,eiu_region,year,value,rank
New Zealand,Wellington,NZL,NZL_WEL,Asia & Australasia,2021,93.7,4
Japan,Tokyo,JPN,JPN_TOK,Asia & Australasia,2021,93.7,4
Australia,Perth,AUS,AUS_PER,Asia & Australasia,2021,93.3,6
Switzerland,Zurich,CHE,CHE_ZUR,Western Europe,2021,92.8,7
Switzerland,Geneva,CHE,CHE_GEN,Western Europe,2021,92.5,8
Australia,Melbourne,AUS,AUS_MEL,Asia & Australasia,2021,92.5,8
Australia,Brisbane,AUS,AUS_BRI,Asia & Australasia,2021,92.4,10
Australia,Sydney,AUS,AUS_SYD,Asia & Australasia,2021,92.1,11
Austria,Vienna,AUT,AUT_VIE,Western Europe,2021,92.0,12
Finland,Helsinki,FIN,FIN_HEL,Western Europe,2021,91.7,13
United States,Honolulu,USA,USA_HON,North America,2021,90.6,14
Denmark,Copenhagen,DNK,DNK_COP,Western Europe,2021,90.0,15
Spain,Barcelona,ESP,ESP_BAR,Western Europe,2021,88.3,16
Canada,Vancouver,CAN,CAN_VAN,North America,2021,88.3,16
Canada,Calgary,CAN,CAN_CAL,North America,2021,87.5,18
Spain,Madrid,ESP,ESP_MAD,Western Europe,2021,86.8,19
Canada,Toronto,CAN,CAN_TOR,North America,2021,86.7,20
Sweden,Stockholm,SWE,SWE_STO,Western Europe,2021,86.6,21
Norway,Oslo,NOR,NOR_OSL,Western Europe,2021,86.2,22
Iceland,Reykjavik,ISL,ISL_REY,Western Europe,2021,86.0,23
United States,Atlanta,USA,USA_ATL,North America,2021,85.6,24
United States,Pittsburgh,USA,USA_PIT,North America,2021,85.3,25
Luxembourg,Luxembourg,LUX,LUX_LUX,Western Europe,2021,85.1,26
Germany,Berlin,DEU,DEU_BER,Western Europe,2021,84.9,27
United States,Chicago,USA,USA_CHI,North America,2021,84.3,28
United States,Miami,USA,USA_MIA,North America,2021,84.3,28
Netherlands,Amsterdam,NLD,NLD_AMS,Western Europe,2021,84.1,30
United States,Houston,USA,USA_HOU,North America,2021,84.0,31
Germany,Munich,DEU,DEU_MUN,Western Europe,2021,84.0,31
Taiwan,Taipei,TWN,TWN_TAI,Asia & Australasia,2021,83.9,33
United States,Boston,USA,USA_BOS,North America,2021,83.8,34
Singapore,Singapore,SGP,SGP_SIN,Asia & Australasia,2021,83.8,34
United States,Minneapolis,USA,USA_MIN,North America,2021,83.4,36
Hungary,Budapest,HUN,HUN_BUD,Eastern Europe,2021,82.9,37
France,Lyon,FRA,FRA_LYO,Western Europe,2021,82.9,37
Germany,Frankfurt,DEU,DEU_FRA,Western Europe,2021,82.8,39
United States,Seattle,USA,USA_SEA,North America,2021,82.7,40
Canada,Montreal,CAN,CAN_MON,North America,2021,82.7,40
France,Paris,FRA,FRA_PAR,Western Europe,2021,82.5,42
Italy,Milan,ITA,ITA_MIL,Western Europe,2021,82.4,43
United States,San Francisco,USA,USA_SAN,North America,2021,82.4,43
United States,"Washington, DC",USA,USA_WAS,North America,2021,82.4,43
Belgium,Brussels,BEL,BEL_BRU,Western Europe,2021,82.1,46
Germany,Hamburg,DEU,DEU_HAM,Western Europe,2021,81.9,47
United States,Cleveland,USA,USA_CLE,North America,2021,81.8,48
Hong Kong,Hong Kong,HKG,CHN_HON,Asia & Australasia,2021,81.7,49
Germany,Dusseldorf,DEU,DEU_DUS,Western Europe,2021,80.2,50
Ireland,Dublin,IRL,IRL_DUB,Western Europe,2021,80.1,51
United States,Detroit,USA,USA_DET,North America,2021,79.5,52
South Korea,Seoul,KOR,KOR_SEO,Asia & Australasia,2021,79.3,53
Britain,Manchester,GBR,GBR_MAN,Western Europe,2021,78.3,54
United States,Los Angeles,USA,USA_LOS,North America,2021,78.0,55
United States,Lexington,USA,USA_LEX,North America,2021,77.7,56
Italy,Rome,ITA,ITA_ROM,Western Europe,2021,77.3,57
Portugal,Lisbon,PRT,PRT_LIS,Western Europe,2021,77.2,58
United States,New York,USA,USA_NEW,North America,2021,76.9,59
Britain,London,GBR,GBR_LON,Western Europe,2021,76.7,60
Uruguay,Montevideo,URY,URY_MON,Latin America & the Caribbean,2021,76.5,61
Argentina,Buenos Aires,ARG,ARG_BUE,Latin America & the Caribbean,2021,75.8,62
United Arab Emirates,Abu Dhabi,ARE,ARE_ABU,Middle East & North Africa,2021,73.5,63
China,Suzhou,CHN,CHN_SUZ,Asia & Australasia,2021,73.3,64
China,Beijing,CHN,CHN_BEI,Asia & Australasia,2021,73.2,65
Russia,Moscow,RUS,RUS_MOS,Eastern Europe,2021,73.2,65
New Caledonia,NoumÃ©a,NCL,NCL_NOU,Asia & Australasia,2021,73.0,67
Poland,Warsaw,POL,POL_WAR,Eastern Europe,2021,72.8,68
China,Tianjin,CHN,CHN_TIA,Asia & Australasia,2021,72.6,69
China,Shanghai,CHN,CHN_SHA,Asia & Australasia,2021,72.2,70
Chile,Santiago,CHL,CHL_SAN,Latin America & the Caribbean,2021,71.7,71
Czech Republic,Prague,CZE,CZE_PRA,Eastern Europe,2021,71.2,72
China,Shenzhen,CHN,CHN_SHE,Asia & Australasia,2021,70.5,73
United Arab Emirates,Dubai,ARE,ARE_DUB,Middle East & North Africa,2021,70.0,74
Russia,St Petersburg,RUS,RUS_ST,Eastern Europe,2021,69.9,75
Puerto Rico,San Juan,PRI,PRI_SAN,Latin America & the Caribbean,2021,69.7,76
Slovakia,Bratislava,SVK,SVK_BRA,Eastern Europe,2021,69.3,77
China,Dalian,CHN,CHN_DAL,Asia & Australasia,2021,68.0,78
Israel,Tel Aviv,ISR,ISR_TEL,Middle East & North Africa,2021,67.3,79
China,Guangzhou,CHN,CHN_GUA,Asia & Australasia,2021,67.2,80
Bulgaria,Sofia,BGR,BGR_SOF,Eastern Europe,2021,66.4,81
Malaysia,Kuala Lumpur,MYS,MYS_KUA,Asia & Australasia,2021,66.3,82
South Africa,Johannesburg,ZAF,ZAF_JOH,Sub-Saharan Africa,2021,65.5,83
Costa Rica,San JosÃ©,CRI,CRI_SAN,Latin America & the Caribbean,2021,65.4,84
Romania,Bucharest,ROU,ROU_BUC,Eastern Europe,2021,65.1,85
China,Qingdao,CHN,CHN_QIN,Asia & Australasia,2021,64.6,86
Bahrain,Bahrain,BHR,BHR_BAH,Middle East & North Africa,2021,64.4,87
Qatar,Doha,QAT,QAT_DOH,Middle East & North Africa,2021,64.3,88
Kuwait,Kuwait City,KWT,KWT_KUW,Middle East & North Africa,2021,64.3,88
South Africa,Pretoria,ZAF,ZAF_PRE,Sub-Saharan Africa,2021,63.9,90
Serbia,Belgrade,SRB,SRB_BEL,Eastern Europe,2021,63.9,90
Greece,Athens,GRC,GRC_ATH,Western Europe,2021,62.9,92
Peru,Lima,PER,PER_LIM,Latin America & the Caribbean,2021,61.5,93
Oman,Muscat,OMN,OMN_MUS,Middle East & North Africa,2021,60.0,94
Brunei,Bandar Seri Begawan,BRN,BRN_BAN,Asia & Australasia,2021,59.9,95
Panama,Panama City,PAN,PAN_PAN,Latin America & the Caribbean,2021,59.8,96
Brazil,Rio de Janeiro,BRA,BRA_RIO,Latin America & the Caribbean,2021,59.5,97
Thailand,Bangkok,THA,THA_BAN,Asia & Australasia,2021,59.3,98
Brazil,SÃ£o Paulo,BRA,BRA_SAO,Latin America & the Caribbean,2021,59.0,99
Paraguay,AsunciÃ³n,PRY,PRY_ASU,Latin America & the Caribbean,2021,58.8,100
Azerbaijan,Baku,AZE,AZE_BAK,Eastern Europe,2021,58.1,101
Vietnam,Hanoi,VNM,VNM_HAN,Asia & Australasia,2021,57.9,102
Jordan,Amman,JOR,JOR_AMM,Middle East & North Africa,2021,57.5,103
Kazakhstan,Almaty,KAZ,KAZ_ALM,Eastern Europe,2021,57.3,104
Vietnam,Ho Chi Minh City,VNM,VNM_HO,Asia & Australasia,2021,55.2,105
Ecuador,Quito,ECU,ECU_QUI,Latin America & the Caribbean,2021,55.2,105
Mexico,Mexico City,MEX,MEX_MEX,Latin America & the Caribbean,2021,53.7,107
Saudi Arabia,Riyadh,SAU,SAU_RIY,Middle East & North Africa,2021,53.5,108
Philippines,Manila,PHL,PHL_MAN,Asia & Australasia,2021,53.4,109
Tunisia,Tunis,TUN,TUN_TUN,Middle East & North Africa,2021,53.0,110
Guatemala,Guatemala City,GTM,GTM_GUA,Latin America & the Caribbean,2021,52.3,111
Uzbekistan,Tashkent,UZB,UZB_TAS,Eastern Europe,2021,51.5,112
Colombia,BogotÃ¡,COL,COL_BOG,Latin America & the Caribbean,2021,51.4,113
Morocco,Casablanca,MAR,MAR_CAS,Middle East & North Africa,2021,51.2,114
Saudi Arabia,Jeddah,SAU,SAU_JED,Middle East & North Africa,2021,51.2,114
Kenya,Nairobi,KEN,KEN_NAI,Sub-Saharan Africa,2021,49.9,116
Turkey,Istanbul,TUR,TUR_IST,Eastern Europe,2021,49.8,117
India,New Delhi,IND,IND_NEW,Asia & Australasia,2021,49.5,118
Ukraine,Kyiv,UKR,UKR_KIE,Eastern Europe,2021,49.1,119
Saudi Arabia,Al Khobar,SAU,SAU_AL,Middle East & North Africa,2021,48.7,120
Cambodia,Phnom Penh,KHM,KHM_PHN,Asia & Australasia,2021,47.3,121
Cote d'Ivoire,Abidjan,CIV,CIV_ABI,Sub-Saharan Africa,2021,46.9,122
Indonesia,Jakarta,IDN,IDN_JAK,Asia & Australasia,2021,46.8,123
India,Mumbai,IND,IND_MUM,Asia & Australasia,2021,46.5,124
Zambia,Lusaka,ZMB,ZMB_LUS,Sub-Saharan Africa,2021,45.0,125
Sri Lanka,Colombo,LKA,LKA_COL,Asia & Australasia,2021,45.0,125
Nepal,Kathmandu,NPL,NPL_KAT,Asia & Australasia,2021,44.8,127
Egypt,Cairo,EGY,EGY_CAI,Middle East & North Africa,2021,44.1,128
Iran,Tehran,IRN,IRN_TEH,Middle East & North Africa,2021,42.9,129
Senegal,Dakar,SEN,SEN_DAK,Sub-Saharan Africa,2021,42.0,130
Venezuela,Caracas,VEN,VEN_CAR,Latin America & the Caribbean,2021,41.7,131
Cameroon,Douala,CMR,CMR_DOU,Sub-Saharan Africa,2021,38.6,132
Zimbabwe,Harare,ZWE,ZWE_HAR,Sub-Saharan Africa,2021,36.6,133
Pakistan,Karachi,PAK,PAK_KAR,Asia & Australasia,2021,36.2,134
Libya,Tripoli,LBY,LBY_TRI,Middle East & North Africa,2021,34.2,135
Algeria,Algiers,DZA,DZA_ALG,Middle East & North Africa,2021,34.1,136
Bangladesh,Dhaka,BGD,BGD_DHA,Asia & Australasia,2021,33.5,137
PNG,Port Moresby,PNG,PNG_POR,Asia & Australasia,2021,32.5,138
Nigeria,Lagos,NGA,NGA_LAG,Sub-Saharan Africa,2021,31.2,139
Syria,Damascus,SYR,SYR_DAM,Middle East & North Africa,2021,26.5,140
Austria,Vienna,AUT,AUT_VIE,Western Europe,2019,99.1,1
Australia,Melbourne,AUS,AUS_MEL,Asia & Australasia,2019,98.4,2
Australia,Sydney,AUS,AUS_SYD,Asia & Australasia,2019,98.1,3
Japan,Osaka,JPN,JPN_OSA,Asia & Australasia,2019,97.7,4
Canada,Calgary,CAN,CAN_CAL,North America,2019,97.5,5
Canada,Vancouver,CAN,CAN_VAN,North America,2019,97.3,6
Japan,Tokyo,JPN,JPN_TOK,Asia & Australasia,2019,97.2,7
Canada,Toronto,CAN,CAN_TOR,North America,2019,97.2,7
Denmark,Copenhagen,DNK,DNK_COP,Western Europe,2019,96.8,9
Australia,Adelaide,AUS,AUS_ADE,Asia & Australasia,2019,96.6,10
Switzerland,Zurich,CHE,CHE_ZUR,Western Europe,2019,96.3,11
New Zealand,Auckland,NZL,NZL_AUC,Asia & Australasia,2019,96.0,12
Germany,Frankfurt,DEU,DEU_FRA,Western Europe,2019,96.0,12
Australia,Perth,AUS,AUS_PER,Asia & Australasia,2019,95.9,14
Switzerland,Geneva,CHE,CHE_GEN,Western Europe,2019,95.9,14
Finland,Helsinki,FIN,FIN_HEL,Western Europe,2019,95.6,16
Netherlands,Amsterdam,NLD,NLD_AMS,Western Europe,2019,95.3,17
Australia,Brisbane,AUS,AUS_BRI,Asia & Australasia,2019,95.0,18
Germany,Hamburg,DEU,DEU_HAM,Western Europe,2019,95.0,18
Germany,Berlin,DEU,DEU_BER,Western Europe,2019,94.7,20
United States,Honolulu,USA,USA_HON,North America,2019,94.1,21
Canada,Montreal,CAN,CAN_MON,North America,2019,94.8,21
Luxembourg,Luxembourg,LUX,LUX_LUX,Western Europe,2019,94.0,23
Germany,Munich,DEU,DEU_MUN,Western Europe,2019,93.8,24
New Zealand,Wellington,NZL,NZL_WEL,Asia & Australasia,2019,93.6,25
France,Paris,FRA,FRA_PAR,Western Europe,2019,93.6,25
Norway,Oslo,NOR,NOR_OSL,Western Europe,2019,93.4,27
Sweden,Stockholm,SWE,SWE_STO,Western Europe,2019,93.3,28
Germany,Dusseldorf,DEU,DEU_DUS,Western Europe,2019,93.0,29
Belgium,Brussels,BEL,BEL_BRU,Western Europe,2019,92.7,30
Spain,Barcelona,ESP,ESP_BAR,Western Europe,2019,92.5,31
France,Lyon,FRA,FRA_LYO,Western Europe,2019,92.5,31
United States,Atlanta,USA,USA_ATL,North America,2019,92.3,33
United States,Pittsburgh,USA,USA_PIT,North America,2019,92.1,34
Hungary,Budapest,HUN,HUN_BUD,Eastern Europe,2019,92.0,35
United States,Seattle,USA,USA_SEA,North America,2019,91.6,36
Ireland,Dublin,IRL,IRL_DUB,Western Europe,2019,91.5,37
Britain,Manchester,GBR,GBR_MAN,Western Europe,2019,91.3,38
Singapore,Singapore,SGP,SGP_SIN,Asia & Australasia,2019,91.2,39
United States,"Washington, DC",USA,USA_WAS,North America,2019,91.2,39
United States,Chicago,USA,USA_CHI,North America,2019,91.1,41
United States,Miami,USA,USA_MIA,North America,2019,91.1,41
Spain,Madrid,ESP,ESP_MAD,Western Europe,2019,90.9,43
United States,Boston,USA,USA_BOS,North America,2019,90.5,44
United States,San Francisco,USA,USA_SAN,North America,2019,90.3,45
United States,Minneapolis,USA,USA_MIN,North America,2019,90.2,46
Iceland,Reykjavik,ISL,ISL_REY,Western Europe,2019,89.9,47
Britain,London,GBR,GBR_LON,Western Europe,2019,89.9,47
Italy,Milan,ITA,ITA_MIL,Western Europe,2019,89.5,49
Hong Kong,Hong Kong,HKG,CHN_HON,Asia & Australasia,2019,91.3,50
United States,Los Angeles,USA,USA_LOS,North America,2019,88.6,51
United States,Cleveland,USA,USA_CLE,North America,2019,88.5,52
Portugal,Lisbon,PRT,PRT_LIS,Western Europe,2019,87.8,53
Italy,Rome,ITA,ITA_ROM,Western Europe,2019,87.7,54
United States,Houston,USA,USA_HOU,North America,2019,87.6,55
United States,Detroit,USA,USA_DET,North America,2019,86.3,56
South Korea,Seoul,KOR,KOR_SEO,Asia & Australasia,2019,86.1,57
United States,New York,USA,USA_NEW,North America,2019,85.4,58
Taiwan,Taipei,TWN,TWN_TAI,Asia & Australasia,2019,85.1,59
Czech Republic,Prague,CZE,CZE_PRA,Eastern Europe,2019,84.7,60
United States,Lexington,USA,USA_LEX,North America,2019,84.6,61
Argentina,Buenos Aires,ARG,ARG_BUE,Latin America & the Caribbean,2019,83.6,62
Chile,Santiago,CHL,CHL_SAN,Latin America & the Caribbean,2019,81.9,63
Slovakia,Bratislava,SVK,SVK_BRA,Eastern Europe,2019,81.5,64
Uruguay,Montevideo,URY,URY_MON,Latin America & the Caribbean,2019,80.4,65
Poland,Warsaw,POL,POL_WAR,Eastern Europe,2019,80.3,66
New Caledonia,NoumÃ©a,NCL,NCL_NOU,Asia & Australasia,2019,80.1,67
Russia,Moscow,RUS,RUS_MOS,Eastern Europe,2019,80.0,68
Puerto Rico,San Juan,PRI,PRI_SAN,Latin America & the Caribbean,2019,78.0,69
United Arab Emirates,Abu Dhabi,ARE,ARE_ABU,Middle East & North Africa,2019,75.9,70
United Arab Emirates,Dubai,ARE,ARE_DUB,Middle East & North Africa,2019,76.8,71
Russia,St Petersburg,RUS,RUS_ST,Eastern Europe,2019,76.7,72
Greece,Athens,GRC,GRC_ATH,Western Europe,2019,76.0,73
Israel,Tel Aviv,ISR,ISR_TEL,Middle East & North Africa,2019,75.7,74
China,Suzhou,CHN,CHN_SUZ,Asia & Australasia,2019,75.0,75
China,Beijing,CHN,CHN_BEI,Asia & Australasia,2019,74.9,76
Serbia,Belgrade,SRB,SRB_BEL,Eastern Europe,2019,74.5,77
Malaysia,Kuala Lumpur,MYS,MYS_KUA,Asia & Australasia,2019,74.3,78
China,Tianjin,CHN,CHN_TIA,Asia & Australasia,2019,74.2,79
China,Shanghai,CHN,CHN_SHA,Asia & Australasia,2019,73.9,80
Bulgaria,Sofia,BGR,BGR_SOF,Eastern Europe,2019,73.2,81
Peru,Lima,PER,PER_LIM,Latin America & the Caribbean,2019,72.9,82
Costa Rica,San JosÃ©,CRI,CRI_SAN,Latin America & the Caribbean,2019,72.7,83
China,Shenzhen,CHN,CHN_SHE,Asia & Australasia,2019,72.2,84
Romania,Bucharest,ROU,ROU_BUC,Eastern Europe,2019,72.2,84
Kuwait,Kuwait City,KWT,KWT_KUW,Middle East & North Africa,2019,72.1,86
Qatar,Doha,QAT,QAT_DOH,Middle East & North Africa,2019,70.9,87
South Africa,Johannesburg,ZAF,ZAF_JOH,Sub-Saharan Africa,2019,70.8,88
Brazil,Rio de Janeiro,BRA,BRA_RIO,Latin America & the Caribbean,2019,70.3,89
China,Dalian,CHN,CHN_DAL,Asia & Australasia,2019,69.7,90
Oman,Muscat,OMN,OMN_MUS,Middle East & North Africa,2019,69.7,90
China,Guangzhou,CHN,CHN_GUA,Asia & Australasia,2019,67.5,92
South Africa,Pretoria,ZAF,ZAF_PRE,Sub-Saharan Africa,2019,69.3,93
Brazil,SÃ£o Paulo,BRA,BRA_SAO,Latin America & the Caribbean,2019,69.1,94
Bahrain,Bahrain,BHR,BHR_BAH,Middle East & North Africa,2019,68.8,95
Panama,Panama City,PAN,PAN_PAN,Latin America & the Caribbean,2019,67.8,96
China,Qingdao,CHN,CHN_QIN,Asia & Australasia,2019,66.1,97
Thailand,Bangkok,THA,THA_BAN,Asia & Australasia,2019,66.0,98
Paraguay,AsunciÃ³n,PRY,PRY_ASU,Latin America & the Caribbean,2019,65.6,99
Kazakhstan,Almaty,KAZ,KAZ_ALM,Eastern Europe,2019,65.3,100
Brunei,Bandar Seri Begawan,BRN,BRN_BAN,Asia & Australasia,2019,65.1,101
Jordan,Amman,JOR,JOR_AMM,Middle East & North Africa,2019,65.3,102
Philippines,Manila,PHL,PHL_MAN,Asia & Australasia,2019,62.0,103
Azerbaijan,Baku,AZE,AZE_BAK,Eastern Europe,2019,61.6,104
Ecuador,Quito,ECU,ECU_QUI,Latin America & the Caribbean,2019,61.1,105
Tunisia,Tunis,TUN,TUN_TUN,Middle East & North Africa,2019,59.8,106
Vietnam,Hanoi,VNM,VNM_HAN,Asia & Australasia,2019,59.7,107
Saudi Arabia,Riyadh,SAU,SAU_RIY,Middle East & North Africa,2019,59.6,108
Colombia,BogotÃ¡,COL,COL_BOG,Latin America & the Caribbean,2019,59.6,108
Mexico,Mexico City,MEX,MEX_MEX,Latin America & the Caribbean,2019,59.3,110
Turkey,Istanbul,TUR,TUR_IST,Eastern Europe,2019,59.0,111
Guatemala,Guatemala City,GTM,GTM_GUA,Latin America & the Caribbean,2019,58.2,112
Morocco,Casablanca,MAR,MAR_CAS,Middle East & North Africa,2019,57.8,113
Saudi Arabia,Jeddah,SAU,SAU_JED,Middle East & North Africa,2019,57.8,113
Vietnam,Ho Chi Minh City,VNM,VNM_HO,Asia & Australasia,2019,57.1,115
Indonesia,Jakarta,IDN,IDN_JAK,Asia & Australasia,2019,57.1,115
Ukraine,Kyiv,UKR,UKR_KIE,Eastern Europe,2019,56.6,117
India,New Delhi,IND,IND_NEW,Asia & Australasia,2019,56.3,118
India,Mumbai,IND,IND_MUM,Asia & Australasia,2019,56.2,119
Saudi Arabia,Al Khobar,SAU,SAU_AL,Middle East & North Africa,2019,55.4,120
Uzbekistan,Tashkent,UZB,UZB_TAS,Eastern Europe,2019,54.7,121
Kenya,Nairobi,KEN,KEN_NAI,Sub-Saharan Africa,2019,54.4,122
Cote d'Ivoire,Abidjan,CIV,CIV_ABI,Sub-Saharan Africa,2019,52.2,123
Sri Lanka,Colombo,LKA,LKA_COL,Asia & Australasia,2019,51.7,124
Egypt,Cairo,EGY,EGY_CAI,Middle East & North Africa,2019,51.6,125
Cambodia,Phnom Penh,KHM,KHM_PHN,Asia & Australasia,2019,51.4,126
Zambia,Lusaka,ZMB,ZMB_LUS,Sub-Saharan Africa,2019,51.0,127
Nepal,Kathmandu,NPL,NPL_KAT,Asia & Australasia,2019,51.0,127
Iran,Tehran,IRN,IRN_TEH,Middle East & North Africa,2019,49.5,129
Senegal,Dakar,SEN,SEN_DAK,Sub-Saharan Africa,2019,48.3,130
Venezuela,Caracas,VEN,VEN_CAR,Latin America & the Caribbean,2019,46.9,131
Cameroon,Douala,CMR,CMR_DOU,Sub-Saharan Africa,2019,44.0,132
Zimbabwe,Harare,ZWE,ZWE_HAR,Sub-Saharan Africa,2019,42.6,133
PNG,Port Moresby,PNG,PNG_POR,Asia & Australasia,2019,41.0,134
Pakistan,Karachi,PAK,PAK_KAR,Asia & Australasia,2019,40.9,135
Libya,Tripoli,LBY,LBY_TRI,Middle East & North Africa,2019,40.4,136
Algeria,Algiers,DZA,DZA_ALG,Middle East & North Africa,2019,44.1,137
Bangladesh,Dhaka,BGD,BGD_DHA,Asia & Australasia,2019,39.2,138
Nigeria,Lagos,NGA,NGA_LAG,Sub-Saharan Africa,2019,38.5,139
Syria,Damascus,SYR,SYR_DAM,Middle East & North Africa,2019,30.7,140
Austria,Vienna,AUT,AUT_VIE,Western Europe,2018,99.1,1
Australia,Melbourne,AUS,AUS_MEL,Asia & Australasia,2018,98.4,2
Australia,Sydney,AUS,AUS_SYD,Asia & Australasia,2018,97.4,3
Japan,Osaka,JPN,JPN_OSA,Asia & Australasia,2018,97.7,4
Canada,Calgary,CAN,CAN_CAL,North America,2018,97.5,5
Canada,Vancouver,CAN,CAN_VAN,North America,2018,97.3,6
Japan,Tokyo,JPN,JPN_TOK,Asia & Australasia,2018,97.2,7
Canada,Toronto,CAN,CAN_TOR,North America,2018,97.2,7
Denmark,Copenhagen,DNK,DNK_COP,Western Europe,2018,96.8,9
Australia,Adelaide,AUS,AUS_ADE,Asia & Australasia,2018,96.6,10
Switzerland,Zurich,CHE,CHE_ZUR,Western Europe,2018,96.3,11
New Zealand,Auckland,NZL,NZL_AUC,Asia & Australasia,2018,96.0,12
Germany,Frankfurt,DEU,DEU_FRA,Western Europe,2018,96.0,12
Australia,Perth,AUS,AUS_PER,Asia & Australasia,2018,95.9,14
Switzerland,Geneva,CHE,CHE_GEN,Western Europe,2018,95.9,14
Finland,Helsinki,FIN,FIN_HEL,Western Europe,2018,95.6,16
Netherlands,Amsterdam,NLD,NLD_AMS,Western Europe,2018,95.3,17
Australia,Brisbane,AUS,AUS_BRI,Asia & Australasia,2018,94.3,18
Germany,Hamburg,DEU,DEU_HAM,Western Europe,2018,95.0,18
Canada,Montreal,CAN,CAN_MON,North America,2018,94.8,20
France,Paris,FRA,FRA_PAR,Western Europe,2018,94.8,20
Germany,Berlin,DEU,DEU_BER,Western Europe,2018,94.7,22
United States,Honolulu,USA,USA_HON,North America,2018,94.1,23
Luxembourg,Luxembourg,LUX,LUX_LUX,Western Europe,2018,94.0,24
Germany,Munich,DEU,DEU_MUN,Western Europe,2018,93.8,25
New Zealand,Wellington,NZL,NZL_WEL,Asia & Australasia,2018,93.6,26
Norway,Oslo,NOR,NOR_OSL,Western Europe,2018,93.4,27
Sweden,Stockholm,SWE,SWE_STO,Western Europe,2018,92.1,28
Germany,Dusseldorf,DEU,DEU_DUS,Western Europe,2018,93.0,29
Belgium,Brussels,BEL,BEL_BRU,Western Europe,2018,92.7,30
Spain,Barcelona,ESP,ESP_BAR,Western Europe,2018,92.5,31
France,Lyon,FRA,FRA_LYO,Western Europe,2018,92.5,31
United States,Atlanta,USA,USA_ATL,North America,2018,88.6,33
United States,Pittsburgh,USA,USA_PIT,North America,2018,92.1,34
Hungary,Budapest,HUN,HUN_BUD,Eastern Europe,2018,92.0,35
Ireland,Dublin,IRL,IRL_DUB,Western Europe,2018,90.7,36
Hong Kong,Hong Kong,HKG,CHN_HON,Asia & Australasia,2018,91.3,37
Britain,Manchester,GBR,GBR_MAN,Western Europe,2018,91.3,37
Singapore,Singapore,SGP,SGP_SIN,Asia & Australasia,2018,91.2,39
United States,"Washington, DC",USA,USA_WAS,North America,2018,91.2,39
United States,Chicago,USA,USA_CHI,North America,2018,89.8,41
United States,Miami,USA,USA_MIA,North America,2018,89.8,41
Spain,Madrid,ESP,ESP_MAD,Western Europe,2018,90.9,43
United States,Boston,USA,USA_BOS,North America,2018,90.5,44
United States,Seattle,USA,USA_SEA,North America,2018,89.5,45
United States,San Francisco,USA,USA_SAN,North America,2018,88.7,45
United States,Minneapolis,USA,USA_MIN,North America,2018,90.9,47
Iceland,Reykjavik,ISL,ISL_REY,Western Europe,2018,89.9,48
Britain,London,GBR,GBR_LON,Western Europe,2018,89.1,48
Italy,Milan,ITA,ITA_MIL,Western Europe,2018,89.5,50
United States,Los Angeles,USA,USA_LOS,North America,2018,88.6,51
United States,Cleveland,USA,USA_CLE,North America,2018,88.4,52
Portugal,Lisbon,PRT,PRT_LIS,Western Europe,2018,87.8,53
Italy,Rome,ITA,ITA_ROM,Western Europe,2018,87.7,54
United States,Houston,USA,USA_HOU,North America,2018,86.3,55
United States,Detroit,USA,USA_DET,North America,2018,88.2,56
South Korea,Seoul,KOR,KOR_SEO,Asia & Australasia,2018,84.9,57
United States,New York,USA,USA_NEW,North America,2018,85.4,58
Taiwan,Taipei,TWN,TWN_TAI,Asia & Australasia,2018,85.1,59
Czech Republic,Prague,CZE,CZE_PRA,Eastern Europe,2018,84.7,60
United States,Lexington,USA,USA_LEX,North America,2018,84.6,61
Argentina,Buenos Aires,ARG,ARG_BUE,Latin America & the Caribbean,2018,82.4,62
Chile,Santiago,CHL,CHL_SAN,Latin America & the Caribbean,2018,81.9,63
Slovakia,Bratislava,SVK,SVK_BRA,Eastern Europe,2018,81.5,64
Uruguay,Montevideo,URY,URY_MON,Latin America & the Caribbean,2018,79.1,65
Poland,Warsaw,POL,POL_WAR,Eastern Europe,2018,80.3,66
Russia,Moscow,RUS,RUS_MOS,Eastern Europe,2018,78.2,67
New Caledonia,NoumÃ©a,NCL,NCL_NOU,Asia & Australasia,2018,80.1,68
Puerto Rico,San Juan,PRI,PRI_SAN,Latin America & the Caribbean,2018,69.8,69
United Arab Emirates,Dubai,ARE,ARE_DUB,Middle East & North Africa,2018,76.8,70
Russia,St Petersburg,RUS,RUS_ST,Eastern Europe,2018,76.7,71
Greece,Athens,GRC,GRC_ATH,Western Europe,2018,75.3,72
United Arab Emirates,Abu Dhabi,ARE,ARE_ABU,Middle East & North Africa,2018,75.9,73
Israel,Tel Aviv,ISR,ISR_TEL,Middle East & North Africa,2018,74.4,74
China,Suzhou,CHN,CHN_SUZ,Asia & Australasia,2018,75.0,75
China,Beijing,CHN,CHN_BEI,Asia & Australasia,2018,74.9,76
Malaysia,Kuala Lumpur,MYS,MYS_KUA,Asia & Australasia,2018,73.6,77
China,Tianjin,CHN,CHN_TIA,Asia & Australasia,2018,74.2,78
China,Shanghai,CHN,CHN_SHA,Asia & Australasia,2018,72.6,79
Bulgaria,Sofia,BGR,BGR_SOF,Eastern Europe,2018,73.2,80
Serbia,Belgrade,SRB,SRB_BEL,Eastern Europe,2018,72.2,80
Peru,Lima,PER,PER_LIM,Latin America & the Caribbean,2018,72.9,82
